type,name,label,required,default,relevant,constraint_message,constraint,calculation
decimal,Siliceous_mudstone_percent,Siliceous mudstone percent,false,,"selected(${Clay_or_mudstone_type}, 'siliceous_muds')",,,
decimal,Siliceous_calcareous_mudstone_percent,Siliceous calcareous mudstone percent,false,,"selected(${Clay_or_mudstone_type}, 'siliceous_calc')",,,
decimal,Siliceous_volcanicla_tic_mudstone_percent,Siliceous volcaniclastic mudstone percent,false,,"selected(${Clay_or_mudstone_type}, 'siliceous_volc')",,,
decimal,Calcareous_mudstone_percent,Calcareous mudstone percent,false,,"selected(${Clay_or_mudstone_type}, 'calcareous_mud')",,,
decimal,Black_shale_percent,Black shale percent,false,,"selected(${Clay_or_mudstone_type}, 'black_shale')",,,
decimal,Red_clay_percent,Red clay percent,false,,"selected(${Clay_or_mudstone_type}, 'red_clay')",,,
decimal,Red_mudstone_percent,Red mudstone percent,false,,"selected(${Clay_or_mudstone_type}, 'red_mudstone')",,,
decimal,Variegated_mudstone_percent,Variegated mudstone percent,false,,"selected(${Clay_or_mudstone_type}, 'variegated_mud')",,,
decimal,Marl_percent,Marl percent,false,,"selected(${Clay_or_mudstone_type}, 'marl')",,,
decimal,Sarl_percent,Sarl percent,false,,"selected(${Clay_or_mudstone_type}, 'sarl')",,,
decimal,Argillaceous_mudstone_percent,Argillaceous mudstone percent,false,,"selected(${Clay_or_mudstone_type}, 'argillaceous_m')",,,
select_multiple ih44p58,Conglomerate_composition,Conglomerate composition,false,,"selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
select_multiple uz9ix58,Clast_composition,Clast composition,false,,"selected(${Siliciclastic_lithologies}, 'conglomerate')",,,
text,Other_clast_type_s,Other clast type(s),false,,"selected(${Clast_composition}, 'other')",,,
decimal,Intrusive_igneous_clast_percent,Intrusive igneous clast percent,false,,"selected(${Clast_composition}, 'intrusive_igneous')",,,
decimal,Extrusive_igneous_clast_percent,Extrusive igneous clast percent,false,,"selected(${Clast_composition}, 'extrusive_igneous')",,,
decimal,Metamorphic_clast_percent,Metamorphic clast percent,false,,"selected(${Clast_composition}, 'metamorphic')",,,
decimal,Mudstone_clast_percent,Mudstone clast percent,false,,"selected(${Clast_composition}, 'mudstone')",,,
decimal,Siltstone_clast_percent,Siltstone clast percent,false,,"selected(${Clast_composition}, 'siltstone')",,,
decimal,Siltstone_clast_percent_001,Siltstone clast percent,false,,"selected(${Clast_composition}, 'siltstone')",,,
decimal,Sandstone_clast_percent,Sandstone clast percent,false,,"selected(${Clast_composition}, 'sandstone')",,,
decimal,Conglomerate_clast_percent,Conglomerate clast percent,false,,"selected(${Clast_composition}, 'conglomerate')",,,
decimal,Limestone_clast_percent,Limestone clast percent,false,,"selected(${Clast_composition}, 'limestone')",,,
